,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
141,Benin,BEN,BJ,Lalo,3265,1.910447,6.914883,2017,134,21,0.156716418,134,1,0.007462687,134,1,0.007462687,134,22,0.164179104,0.159675261
142,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,50,8,0.16,50,4,0.08,50,0,0,50,12,0.24,0.214339623
143,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,48,9,0.1875,48,1,0.020833333,48,0,0,48,11,0.229166667,0.192855739
144,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,49,18,0.367346939,49,0,0,49,1,0.020408163,49,20,0.408163265,0.358734175
145,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,49,14,0.285714286,49,0,0,49,0,0,49,1,0.020408163,0.285714286
146,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,50,4,0.08,50,0,0,50,0,0,50,4,0.08,0.08
147,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,50,1,0.02,50,0,0,50,0,0,50,1,0.02,0.02
148,Benin,BEN,BJ,Aplahoue,3254,1.726861,6.985417,2017,48,0,0,48,0,0,48,0,0,48,0,0,0
149,Benin,BEN,BJ,Klouekanme,3257,1.751133,7.031536,2017,133,21,0.157894737,133,5,0.037593985,133,1,0.007518797,133,22,0.165413534,0.184572092
150,Benin,BEN,BJ,Klouekanme,3257,1.751133,7.031536,2017,133,42,0.315789474,133,1,0.007518797,133,0,0,133,42,0.315789474,0.302767843
151,Benin,BEN,BJ,Klouekanme,3257,1.751133,7.031536,2017,134,48,0.358208955,134,1,0.007462687,134,0,0,134,48,0.358208955,0.342451359
152,Benin,BEN,BJ,Savalou,3248,1.6703,7.819086,2017,48,4,0.083333333,48,0,0,48,0,0,48,4,0.083333333,0.083333333
153,Benin,BEN,BJ,Savalou,3248,1.6703,7.819086,2017,48,1,0.020833333,48,0,0,48,0,0,48,1,0.020833333,0.020833333
154,Benin,BEN,BJ,Savalou,3248,1.6703,7.819086,2017,50,1,0.02,50,0,0,50,1,0.02,50,2,0.04,0.037358491
155,Benin,BEN,BJ,Savalou,3248,1.6703,7.819086,2017,50,1,0.02,50,0,0,50,0,0,50,1,0.02,0.02
156,Benin,BEN,BJ,Savalou,3248,1.6703,7.819086,2017,50,0,0,50,0,0,50,0,0,50,0,0,0
157,Benin,BEN,BJ,Bante,3244,1.812281,8.109378,2017,50,11,0.22,50,0,0,50,0,0,50,11,0.22,0.22
158,Benin,BEN,BJ,Bante,3244,1.812281,8.109378,2017,50,5,0.1,50,0,0,50,2,0.04,50,6,0.12,0.128301887
159,Benin,BEN,BJ,Bante,3244,1.812281,8.109378,2017,50,3,0.06,50,0,0,50,0,0,50,3,0.06,0.06
160,Benin,BEN,BJ,Bante,3244,1.812281,8.109378,2017,50,2,0.04,50,0,0,50,0,0,50,2,0.04,0.04
161,Benin,BEN,BJ,Bante,3244,1.812281,8.109378,2017,50,0,0,50,0,0,50,0,0,50,0,0,0
162,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,48,5,0.104166667,48,0,0,48,1,0.020833333,48,6,0.125,0.115877227
163,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,48,4,0.083333333,48,0,0,48,1,0.020833333,48,5,0.104166667,0.0966326
164,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,49,4,0.081632653,49,0,0,49,0,0,49,4,0.081632653,0.081632653
165,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,50,3,0.06,50,0,0,50,0,0,50,3,0.06,0.06
166,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,48,2,0.041666667,48,0,0,48,0,0,48,2,0.041666667,0.041666667
167,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,50,1,0.02,50,0,0,50,0,0,50,1,0.02,0.02
168,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,48,0,0,48,0,0,48,1,0.020833333,48,1,0.020833333,0.020833333
169,Benin,BEN,BJ,Glazoue,3246,2.340944,8.069011,2017,50,0,0,50,0,0,50,0,0,50,0,0,0
170,Benin,BEN,BJ,Tchaourou,3243,2.930886,9.215667,2017,50,13,0.26,50,0,0,50,0,0,50,13,0.26,0.26
